registered pins: 160
pin 145 (gpio4-17) 17:gpio4 
pin 146 (gpio4-18) 18:gpio4 
pin 147 (gpio4-19) 19:gpio4 
pin 148 (gpio4-20) 20:gpio4 
pin 149 (gpio4-21) 21:gpio4 
pin 150 (gpio4-22) 22:gpio4 
pin 151 (gpio4-23) 23:gpio4 
pin 152 (gpio4-24) 24:gpio4 
pin 153 (gpio4-25) 25:gpio4 
pin 154 (gpio4-26) 26:gpio4 
pin 155 (gpio4-27) 27:gpio4 
pin 156 (gpio4-28) 28:gpio4 
pin 157 (gpio4-29) 29:gpio4 
pin 158 (gpio4-30) 30:gpio4 
pin 159 (gpio4-31) 31:gpio4 
